accuracy,inducer,response_time,subject_nr,valid
1,-1,855.1494999993593,2,1
1,-1,700.3904999983497,2,1
1,-1,1052.308199999854,2,1
1,-1,698.2581000011414,2,1
0,-1,801.5181000009179,2,-1
0,-1,888.7498000003397,2,-1
1,-1,538.7582000005059,2,1
0,-1,739.9962000017986,2,1
1,-1,576.5723000003491,2,-1
0,-1,639.8655000012368,2,-1
0,-1,627.8142999981064,2,1
1,1,1442.8774999978486,2,1
0,1,1087.452699997928,2,1
1,1,594.7283999994397,2,-1
1,1,473.32359999930486,2,1
1,1,650.5900000010151,2,1
1,1,623.8226999994367,2,1
1,1,544.4605000012089,2,1
1,1,553.7516000005417,2,1
1,1,743.0005000024103,2,1
1,1,682.271100002341,2,-1
0,1,396.92140000266954,2,1
0,1,440.751900001429,2,1
1,1,508.08319999836385,2,1
1,1,564.6869999980554,2,-1
0,1,2000.0311000002548,2,1
0,1,719.2222999986261,2,-1
1,1,518.4741000011563,2,1
1,1,465.7851999984123,2,1
0,1,768.3644999996759,2,1
1,1,480.25019999826327,2,1
1,1,364.21080000232905,2,1
1,1,674.1305999970064,2,-1
1,1,638.0644999993965,2,1
1,1,637.2965999981388,2,1
0,1,646.5147999990731,2,-1
1,1,763.1567999995314,2,1
0,1,843.7420999985188,2,1
0,1,852.7548999991268,2,-1
1,1,1007.9866000013426,2,1
0,1,852.5488999984227,2,-1
1,1,757.1338000013493,2,1
1,1,580.3844000003301,2,1
1,1,677.6626999997534,2,1
0,1,540.2491999994963,2,-1
1,1,715.8254999993369,2,1
0,1,554.434299999848,2,1
1,1,666.3642999990843,2,1
0,1,527.6418000031263,2,-1
1,1,769.5289000002667,2,1
0,1,1238.1151999980211,2,1
1,1,661.3121000006795,2,1
1,1,747.2051000003703,2,1
1,1,928.4420999973081,2,1
1,1,479.7118999995291,2,-1
0,1,652.2647000015713,2,-1
1,1,505.5484000002034,2,-1
1,1,692.1603000010364,2,-1
1,1,376.7495000031777,2,1
1,1,289.94430000241846,2,1
0,1,703.2747000013478,2,-1
0,1,893.237199997995,2,1
0,1,815.7714999979362,2,-1
0,1,471.02340000122786,2,1
1,1,802.991699998267,2,1
0,1,408.90140000218526,2,1
1,1,636.8150000018068,2,1
0,1,410.77420000126585,2,1
0,1,602.0514000006951,2,1
1,1,558.639200000558,2,1
1,1,395.2260000007227,2,1
1,1,611.21659999853,2,1
0,1,583.0576000008732,2,1
1,1,410.2943999967538,2,1
1,1,346.9021999989636,2,1
